id_prj,id_version,version_name,level1,level2,hist_date,hist_value,flag_adj
106,1,Version 1,Bogor,Sportswear,2023-12-04T00:00:00.000000000Z,620.0,1
106,1,Version 1,Bogor,Sportswear,2023-12-11T00:00:00.000000000Z,598.0,1
106,1,Version 1,Bogor,Sportswear,2023-12-18T00:00:00.000000000Z,633.0,1
106,1,Version 1,Bogor,Sportswear,2023-12-25T00:00:00.000000000Z,570.0,1
106,1,Version 1,Jakarta,Basketballs Shoes,2021-12-27T00:00:00.000000000Z,1196.0,1
106,1,Version 1,Jakarta,Basketballs Shoes,2022-01-03T00:00:00.000000000Z,1196.0,1
106,1,Version 1,Jakarta,Basketballs Shoes,2022-01-10T00:00:00.000000000Z,1196.0,1
106,1,Version 1,Jakarta,Basketballs Shoes,2022-01-17T00:00:00.000000000Z,1196.0,1
106,1,Version 1,Jakarta,Basketballs Shoes,2022-01-24T00:00:00.000000000Z,1196.0,1
106,1,Version 1,Jakarta,Basketballs Shoes,2022-01-31T00:00:00.000000000Z,1196.0,1
106,1,Version 1,Jakarta,Basketballs Shoes,2022-02-07T00:00:00.000000000Z,1196.0,1
106,1,Version 1,Jakarta,Basketballs Shoes,2022-02-14T00:00:00.000000000Z,1196.0,1
106,1,Version 1,Jakarta,Basketballs Shoes,2022-02-21T00:00:00.000000000Z,1196.0,1
106,1,Version 1,Jakarta,Basketballs Shoes,2022-02-28T00:00:00.000000000Z,1196.0,1
106,1,Version 1,Jakarta,Basketballs Shoes,2022-03-07T00:00:00.000000000Z,1303.0,1
106,1,Version 1,Jakarta,Basketballs Shoes,2022-03-14T00:00:00.000000000Z,1210.0,1
106,1,Version 1,Jakarta,Basketballs Shoes,2022-03-21T00:00:00.000000000Z,1264.0,1
106,1,Version 1,Jakarta,Basketballs Shoes,2022-03-28T00:00:00.000000000Z,1196.0,1
106,1,Version 1,Jakarta,Basketballs Shoes,2022-04-04T00:00:00.000000000Z,1353.0,1
106,1,Version 1,Jakarta,Basketballs Shoes,2022-04-11T00:00:00.000000000Z,1403.0,1
106,1,Version 1,Jakarta,Basketballs Shoes,2022-04-18T00:00:00.000000000Z,1403.0,1
106,1,Version 1,Jakarta,Basketballs Shoes,2022-04-25T00:00:00.000000000Z,1403.0,1
106,1,Version 1,Jakarta,Basketballs Shoes,2022-05-02T00:00:00.000000000Z,1403.0,1
106,1,Version 1,Jakarta,Basketballs Shoes,2022-05-09T00:00:00.000000000Z,1403.0,1
106,1,Version 1,Jakarta,Basketballs Shoes,2022-05-16T00:00:00.000000000Z,1390.0,1
106,1,Version 1,Jakarta,Basketballs Shoes,2022-05-23T00:00:00.000000000Z,1382.0,1
106,1,Version 1,Jakarta,Basketballs Shoes,2022-05-30T00:00:00.000000000Z,1368.0,1
106,1,Version 1,Jakarta,Basketballs Shoes,2022-06-06T00:00:00.000000000Z,1403.0,1
106,1,Version 1,Jakarta,Basketballs Shoes,2022-06-13T00:00:00.000000000Z,1403.0,1
106,1,Version 1,Jakarta,Basketballs Shoes,2022-06-20T00:00:00.000000000Z,1344.0,1
106,1,Version 1,Jakarta,Basketballs Shoes,2022-06-27T00:00:00.000000000Z,1401.0,1
